Frame,AX,AY,AZ,GX,GY,GZ
774,46,56,8077,1,1,10
775,46,56,8077,1,1,10
776,46,56,8077,1,1,10
777,46,56,8077,1,1,10
778,46,56,8077,1,1,10
779,46,56,8077,1,1,10
780,46,56,8077,1,1,10
781,46,56,8077,1,1,10
782,46,56,8077,1,1,10
783,46,56,8077,1,1,10
784,46,56,8077,1,1,10
785,46,56,8077,1,1,10
786,46,56,8077,1,1,10
787,46,64,8045,2,1,11
788,34,64,8045,2,1,11
789,34,64,8045,2,1,11
790,34,64,8045,2,1,11
791,34,64,8045,2,1,11
792,34,64,8045,2,1,11
793,34,64,8045,2,1,11
794,34,64,8045,2,1,11
795,34,64,8045,2,1,11
796,34,64,8045,2,1,11
797,34,64,8045,2,1,11
798,34,64,8045,2,1,11
799,34,64,8045,2,1,11
800,34,64,8045,2,1,11
801,34,64,8045,2,1,11
802,34,64,8045,2,1,11
803,34,64,8045,2,1,11
804,34,64,8045,2,1,11
805,34,64,8045,2,1,11
806,34,64,8045,2,1,11
807,34,64,8045,2,1,11
808,34,64,8045,2,1,11
809,34,64,8045,2,1,11
810,34,64,8045,2,1,11
811,34,64,8045,2,1,11
812,34,64,8045,2,1,11
813,34,64,8045,2,1,11
814,34,64,8045,2,1,11
815,34,64,8045,2,1,11
816,34,64,8045,2,1,11
817,34,64,8045,2,1,11
818,34,64,8045,2,1,11
819,34,64,8045,2,1,11
820,34,64,8045,2,1,11
821,34,64,8045,2,1,11
822,34,64,8045,2,1,11
823,34,64,8045,2,1,11
824,34,64,8045,2,1,11
825,34,64,8045,2,1,11
826,34,64,8045,2,1,11
827,34,64,8045,2,1,11
828,34,64,8045,2,1,11
829,34,64,8045,2,1,11
830,34,64,8045,2,1,11
831,34,64,8045,2,1,11
832,34,64,8045,2,1,11
833,34,64,8045,2,1,11
834,34,64,8045,2,1,11
835,34,64,8045,2,1,11
836,34,64,8045,2,1,11
837,34,64,8045,2,1,11
838,34,64,8045,2,1,11
839,34,64,8045,2,1,11
840,34,64,8045,2,1,11
841,34,64,8045,2,1,11
842,34,64,8045,2,1,11
843,34,64,8045,2,1,11
844,34,64,8045,2,1,11
845,34,64,8045,2,1,11
846,34,64,8045,2,1,11
847,34,64,8045,2,1,11
848,34,64,8045,2,1,11
849,34,64,8045,2,1,11
850,34,64,8045,2,1,11
851,34,64,8045,2,1,11
852,34,64,8045,2,1,11
853,34,64,8045,2,1,11
854,34,64,8045,2,3,8
855,-8,52,8067,3,3,8
856,-8,52,8067,3,3,8
857,-8,52,8067,3,3,8
858,-8,52,8067,3,3,8
859,-8,52,8067,3,3,8
860,-8,52,8067,3,3,8
861,-8,52,8067,3,3,8
862,-8,52,8067,3,3,8
863,-8,52,8067,3,3,8
864,-8,52,8067,3,3,8
865,-8,52,8067,3,3,8
866,-8,52,8067,3,3,8
867,-8,52,8067,3,3,8
868,-8,52,8067,3,3,8
869,-8,52,8067,3,3,8
870,-8,52,8067,3,3,8
871,-8,52,8067,3,3,8
872,-8,52,8067,3,3,8
873,-8,52,8067,3,3,8
874,-8,52,8067,3,3,8
875,-8,52,8067,3,3,8
876,-8,52,8067,3,3,8
877,-8,52,8067,3,3,8
878,-8,52,8067,3,3,8
879,-8,52,8067,3,3,8
880,-8,52,8067,3,3,8
881,-8,52,8067,3,3,8
882,-8,52,8067,3,3,8
883,-8,52,8067,3,3,8
884,-8,52,8067,3,3,8
885,-8,52,8067,3,3,8
886,-8,52,8067,3,3,8
887,-8,52,8067,3,3,8
888,-8,52,8067,3,3,8
889,-8,52,8067,3,3,8
890,-8,52,8067,3,3,8
891,-8,52,8067,3,3,8
892,-8,52,8067,3,3,8
893,-8,52,8067,3,3,8
894,-8,52,8067,3,3,8
895,-8,52,8067,3,3,8
896,-8,52,8067,3,3,8
897,-8,52,8067,3,3,8
898,-8,52,8067,3,3,8
899,-8,52,8067,3,3,8
900,-8,52,8067,3,3,8
901,-8,52,8067,3,3,8
902,-8,52,8067,3,3,8
903,-8,52,8067,3,3,8
904,-8,52,8067,3,3,8
905,-8,52,8067,3,3,8
906,-8,52,8067,3,3,8
907,-8,52,8067,3,3,8
908,-8,52,8067,3,3,8
909,-8,52,8067,3,3,8
910,-8,52,8067,3,3,8
911,-8,52,8067,3,3,8
912,-8,52,8067,3,3,8
913,-8,52,8067,3,3,8
914,-8,52,8067,3,3,8
